2013,221.849,224.019,224.862,224.266,224.352,225.338,225.838,226.119,225.981,225.294,224.588,224.895
2014,225.459,226.443,227.975,229.519,229.901,230.476,230.195,229.594,229.666,228.724,226.959,225.251
2015,223.133,224.39,225.936,226.618,227.706,229.008,228.716,228.011,227.348,227.164,226.621,225.578
2016,225.274,225.239,226.818,227.955,228.943,229.955,229.281,229.479,230.07,230.238,229.753,230.016
2017,231.413,231.825,231.92,232.552,232.494,233.064,232.658,233.691,235.707,234.886,234.667,234.361
2018,235.649,236.975,237.318,238.38,239.291,239.844,239.787,239.743,239.707,240.241,239.179,237.492
2019,237.815,239.13,241.036,242.558,242.359,242.032,242.873,242.437,242.339,242.824,242.614,242.619
2020,243.338,243.593,243.277,241.139,240.565,242.401,244.035,245.024,245.609,245.847,245.421,245.886
2021,247.339,248.802,251.042,252.967,255.237,257.847,259.259,259.972,260.839,263.514,264.924,265.732
2022,268.146,271.367,275.672,276.743,280.365,285.104,284.904,283.859,283.777,284.717,284.698,283.431
2023,285.907,287.708,288.746,290.926,291.229,292.119,292.783,294.901,295.225,294.801,294.157,293.791
